Época 296: d_loss = 0.2735, g_loss = 0.2393
Época 297: d_loss = 0.2987, g_loss = 0.2374
Época 298: d_loss = 0.2856, g_loss = 0.2372
Época 299: d_loss = 0.2839, g_loss = 0.2311
Época 300: d_loss = 0.2935, g_loss = 0.2363

Época 1: d_loss = 0.4726, g_loss = 0.1591
Época 2: d_loss = 0.4517, g_loss = 0.1686
Época 3: d_loss = 0.4315, g_loss = 0.1712
Época 4: d_loss = 0.4785, g_loss = 0.1479
Época 5: d_loss = 0.4164, g_loss = 0.1789
Época 6: d_loss = 0.2880, g_loss = 0.2238
Época 7: d_loss = 0.3140, g_loss = 0.2047
Época 8: d_loss = 0.3723, g_loss = 0.1980
Época 9: d_loss = 0.3410, g_loss = 0.1859
Época 10: d_loss = 0.3309, g_loss = 0.2111
Época 11: d_loss = 0.3164, g_loss = 0.2141
Época 12: d_loss = 0.3417, g_loss = 0.2150
Época 13: d_loss = 0.3417, g_loss = 0.2135
Época 14: d_loss = 0.3090, g_loss = 0.2257
Época 15: d_loss = 0.3033, g_loss = 0.2351
Época 16: d_loss = 0.2928, g_loss = 0.2207
Época 17: d_loss = 0.2961, g_loss = 0.2198
Época 18: d_loss = 0.3022, g_loss = 0.2196
Época 19: d_loss = 0.3111, g_loss = 0.2291
Época 20: d_loss = 0.3059, g_loss = 0.2233
Época 21: d_loss = 0.3059, g_loss = 0.2387
Época 22: d_loss = 0.2933, g_loss = 0.2344
Época 23: d_loss = 0.3332, g_loss = 0.2155
Época 24: d_loss = 0.3176, g_loss = 0.2230
Época 25: d_loss = 0.2975, g_loss = 0.2207
Época 26: d_loss = 0.3005, g_loss = 0.2140
Época 27: d_loss = 0.2948, g_loss = 0.2198
Época 28: d_loss = 0.3285, g_loss = 0.2129
Época 29: d_loss = 0.3717, g_loss = 0.2103
Época 30: d_loss = 0.3133, g_loss = 0.2209
Época 31: d_loss = 0.3127, g_loss = 0.2230
Época 32: d_loss = 0.3062, g_loss = 0.2222
Época 33: d_loss = 0.2882, g_loss = 0.2415
Época 34: d_loss = 0.3199, g_loss = 0.2197
Época 35: d_loss = 0.3860, g_loss = 0.1958
Época 36: d_loss = 0.3495, g_loss = 0.2085
Época 37: d_loss = 0.3073, g_loss = 0.2322
Época 38: d_loss = 0.3088, g_loss = 0.2310
Época 39: d_loss = 0.2979, g_loss = 0.2306
Época 40: d_loss = 0.3085, g_loss = 0.2232
Época 41: d_loss = 0.3140, g_loss = 0.2201
Época 42: d_loss = 0.3795, g_loss = 0.1934
Época 43: d_loss = 0.3107, g_loss = 0.2197
Época 1: d_loss = 1.1263, g_loss = 0.6903
Época 1: d_loss = 1.0493, g_loss = 0.6931
Época 1: d_loss = 1.0550, g_loss = 0.6894
Época 1: d_loss = 1.1027, g_loss = 0.6931
Época 1: d_loss = 1.1851, g_loss = 0.6910
Época 2: d_loss = 1.0684, g_loss = 0.6931
Época 2: d_loss = 1.0220, g_loss = 0.6931
Época 2: d_loss = 1.0168, g_loss = 0.6931
Época 3: d_loss = 1.0573, g_loss = 0.6931
Época 2: d_loss = 1.0889, g_loss = 0.6928
Época 2: d_loss = 1.1661, g_loss = 0.6931
Época 4: d_loss = 1.0750, g_loss = 0.6931
Época 3: d_loss = 0.9965, g_loss = 0.6931
Época 3: d_loss = 1.0016, g_loss = 0.6860
Época 3: d_loss = 1.0615, g_loss = 0.6931
Época 4: d_loss = 1.0688, g_loss = 0.6931
Época 4: d_loss = 1.0348, g_loss = 0.6931
Época 3: d_loss = 1.1481, g_loss = 0.6931
Época 5: d_loss = 1.0680, g_loss = 0.6931
Época 4: d_loss = 1.0958, g_loss = 0.6931
Época 4: d_loss = 1.0784, g_loss = 0.6845
Época 4: d_loss = 1.0054, g_loss = 0.6931
Época 6: d_loss = 1.1002, g_loss = 0.6931
Época 4: d_loss = 1.0808, g_loss = 0.6931
Época 4: d_loss = 1.1751, g_loss = 0.6931
Época 4: d_loss = 1.0824, g_loss = 0.6865
Época 5: d_loss = 1.0209, g_loss = 0.6931
Época 7: d_loss = 1.0870, g_loss = 0.6931
Época 5: d_loss = 1.0931, g_loss = 0.6931
Época 8: d_loss = 1.0610, g_loss = 0.6931
Época 4: d_loss = 1.1689, g_loss = 0.6931
Época 5: d_loss = 1.1061, g_loss = 0.6808
Época 6: d_loss = 1.0411, g_loss = 0.6931
Época 8: d_loss = 1.0997, g_loss = 0.6931
Época 6: d_loss = 1.1184, g_loss = 0.6931
Época 9: d_loss = 1.0539, g_loss = 0.6931
Época 7: d_loss = 1.0384, g_loss = 0.6931
Época 6: d_loss = 1.0926, g_loss = 0.6931
Época 5: d_loss = 1.1754, g_loss = 0.6931
Época 10: d_loss = 1.0890, g_loss = 0.6931
Época 7: d_loss = 1.0928, g_loss = 0.6859
Época 8: d_loss = 1.0083, g_loss = 0.6931
Época 11: d_loss = 1.0193, g_loss = 0.6931
Época 7: d_loss = 1.0876, g_loss = 0.6918
Época 6: d_loss = 1.1945, g_loss = 0.6931
Época 11: d_loss = 1.0878, g_loss = 0.6931
Época 8: d_loss = 1.1105, g_loss = 0.6762
Época 8: d_loss = 1.0894, g_loss = 0.6855
Época 12: d_loss = 1.0782, g_loss = 0.6931
Época 8: d_loss = 1.0740, g_loss = 0.6931
Época 7: d_loss = 1.1844, g_loss = 0.6924
Época 13: d_loss = 1.0347, g_loss = 0.6931
Época 8: d_loss = 1.1633, g_loss = 0.6750
Época 9: d_loss = 1.0931, g_loss = 0.6804
Época 14: d_loss = 1.1232, g_loss = 0.6931
Época 8: d_loss = 1.0968, g_loss = 0.6886
Época 8: d_loss = 1.0961, g_loss = 0.6897
Época 15: d_loss = 1.0456, g_loss = 0.6931
Época 9: d_loss = 1.2423, g_loss = 0.6685
Época 10: d_loss = 1.1793, g_loss = 0.6841
Época 15: d_loss = 1.0774, g_loss = 0.6931
Época 9: d_loss = 1.2184, g_loss = 0.6854
Época 16: d_loss = 1.0878, g_loss = 0.6931
Época 8: d_loss = 1.1664, g_loss = 0.6796
Época 10: d_loss = 1.0932, g_loss = 0.6918
Época 11: d_loss = 1.0222, g_loss = 0.6876
Época 17: d_loss = 1.0587, g_loss = 0.6931
Época 10: d_loss = 1.1457, g_loss = 0.6931
Época 18: d_loss = 1.1325, g_loss = 0.6931
Época 9: d_loss = 1.1201, g_loss = 0.6692
Época 11: d_loss = 1.1618, g_loss = 0.6925
Época 11: d_loss = 1.1741, g_loss = 0.6803
Época 18: d_loss = 1.0711, g_loss = 0.6931
Época 11: d_loss = 1.3640, g_loss = 0.6925
Época 19: d_loss = 1.0660, g_loss = 0.6931
Época 10: d_loss = 1.1780, g_loss = 0.6854
Época 11: d_loss = 1.1026, g_loss = 0.6902
Época 12: d_loss = 1.0661, g_loss = 0.6931
Época 20: d_loss = 1.0823, g_loss = 0.6931
Época 11: d_loss = 1.0869, g_loss = 0.6853
Época 21: d_loss = 1.0852, g_loss = 0.6931
Época 12: d_loss = 1.0523, g_loss = 0.6931
Época 11: d_loss = 1.0590, g_loss = 0.6673
Época 13: d_loss = 1.0188, g_loss = 0.6741
Época 22: d_loss = 1.0374, g_loss = 0.6931
Época 12: d_loss = 1.0324, g_loss = 0.6931
Época 22: d_loss = 1.1292, g_loss = 0.6931
Época 11: d_loss = 1.3645, g_loss = 0.6913
